date,country,total_cases,total_hospitalizations,total_icu,total_deaths,total_recovered,regions_count,avg_age
2020-03-18,FRANCE,0,5905,1535,435.0,1627.0,102,0.0
2020-03-19,FRANCE,0,7961,1975,642.0,2322.0,102,0.0
2020-03-20,FRANCE,0,10272,2564,890.0,3128.0,102,0.0
2020-03-21,FRANCE,0,11599,2872,1041.0,3580.0,102,0.0
2020-03-22,FRANCE,0,13675,3311,1251.0,4188.0,102,0.0
2020-03-23,FRANCE,0,17087,4114,1707.0,5084.0,102,0.0
2020-03-24,FRANCE,0,20155,4970,2186.0,6514.0,102,0.0
2020-03-25,FRANCE,0,23992,5847,2763.0,8113.0,102,0.0
2020-03-26,FRANCE,0,27601,6676,3379.0,9827.0,102,0.0
2020-03-27,FRANCE,0,31237,7484,3979.0,11324.0,102,0.0
2020-03-28,FRANCE,0,34975,8438,4615.0,13164.0,102,0.0
2020-03-29,FRANCE,0,38424,9151,5199.0,14175.0,102,0.0
2020-03-30,FRANCE,0,41682,10080,6033.0,15748.0,102,0.0
2020-03-31,FRANCE,0,45115,10956,7027.0,18776.0,102,0.0
2020-04-01,FRANCE,0,48849,11841,8041.0,21741.0,102,0.0
2020-04-02,FRANCE,0,51999,12561,8980.0,24715.0,102,0.0
2020-04-03,FRANCE,0,54328,13056,10150.0,27865.0,102,0.0
2020-04-04,FRANCE,0,55716,13386,11027.0,30714.0,102,0.0
2020-04-05,FRANCE,0,57175,13654,11739.0,32204.0,102,0.0
2020-04-06,FRANCE,0,58813,13832,12939.0,34335.0,102,0.0
2020-04-07,FRANCE,0,59430,13943,14127.0,38485.0,102,0.0
2020-04-08,FRANCE,0,60121,13973,15203.0,42306.0,102,0.0
2020-04-09,FRANCE,0,60897,13811,16025.0,46197.0,102,0.0
2020-04-10,FRANCE,0,61911,13685,17125.0,49636.0,102,0.0
2020-04-11,FRANCE,0,62009,13437,17814.0,52539.0,102,0.0
2020-04-12,FRANCE,0,63009,13360,18433.0,54117.0,102,0.0
2020-04-13,FRANCE,0,63572,13314,19099.0,55177.0,102,0.0
2020-04-14,FRANCE,0,63942,13134,20174.0,57340.0,102,0.0
2020-04-15,FRANCE,0,62946,12597,21201.0,61619.0,102,0.0
2020-04-16,FRANCE,0,62045,12213,22015.0,65323.0,102,0.0
2020-04-17,FRANCE,0,61826,11781,22843.0,68519.0,102,0.0
2020-04-18,FRANCE,0,60741,11405,23573.0,71629.0,102,0.0
2020-04-19,FRANCE,0,60686,11229,24025.0,72810.0,102,0.0
2020-04-20,FRANCE,0,60625,11107,24910.0,74465.0,102,0.0
2020-04-21,FRANCE,0,59673,10612,25682.0,77999.0,102,0.0
2020-04-22,FRANCE,0,58963,10199,26346.0,80938.0,102,0.0
2020-04-23,FRANCE,0,57953,9888,26962.0,83783.0,102,0.0
2020-04-24,FRANCE,0,56844,9525,27573.0,86578.0,102,0.0
2020-04-25,FRANCE,0,55976,9238,27970.0,88773.0,102,0.0
2020-04-26,FRANCE,0,55962,9154,28274.0,89386.0,102,0.0
2020-04-27,FRANCE,0,55640,9012,28864.0,90600.0,102,0.0
2020-04-28,FRANCE,0,54951,8748,29243.0,92228.0,102,0.0
2020-04-29,FRANCE,0,53392,8243,30036.0,96221.0,102,0.0
2020-04-30,FRANCE,0,52311,7883,30414.0,98710.0,102,0.0
2020-05-01,FRANCE,0,51533,7627,30651.0,100179.0,102,0.0
2020-05-02,FRANCE,0,51419,7530,30887.0,100876.0,102,0.0
2020-05-03,FRANCE,0,51395,7514,31081.0,101317.0,102,0.0
2020-05-04,FRANCE,0,50859,7267,31566.0,102489.0,102,0.0
2020-05-05,FRANCE,0,49317,6741,32034.0,105216.0,102,0.0
2020-05-06,FRANCE,0,47737,6183,32387.0,107677.0,102,0.0
2020-05-07,FRANCE,0,46184,5817,32683.0,109784.0,102,0.0
2020-05-08,FRANCE,0,45220,5633,32904.0,111288.0,102,0.0
2020-05-09,FRANCE,0,45001,5521,33056.0,111799.0,102,0.0
2020-05-10,FRANCE,0,44906,5450,33192.0,112186.0,102,0.0
2020-05-11,FRANCE,0,44343,5327,33548.0,113192.0,102,0.0
2020-05-12,FRANCE,0,42971,4988,33911.0,115308.0,102,0.0
2020-05-13,FRANCE,0,41934,4765,34107.0,117078.0,102,0.0
2020-05-14,FRANCE,0,40723,4508,34353.0,118934.0,102,0.0
2020-05-15,FRANCE,0,39522,4321,34590.0,120619.0,102,0.0
2020-05-16,FRANCE,0,38666,4179,34730.0,121852.0,102,0.0
2020-05-17,FRANCE,0,38527,4091,34838.0,122146.0,102,0.0
2020-05-18,FRANCE,0,37833,3913,35083.0,123174.0,102,0.0
2020-05-19,FRANCE,0,36740,3706,35332.0,124842.0,102,0.0
2020-05-20,FRANCE,0,35693,3505,35525.0,126421.0,102,0.0
2020-05-21,FRANCE,0,34985,3413,35640.0,127426.0,102,0.0
2020-05-22,FRANCE,0,34586,3325,35789.0,128126.0,102,0.0
2020-05-23,FRANCE,0,34175,3253,35874.0,128801.0,102,0.0
2020-05-24,FRANCE,0,34190,3233,35943.0,128941.0,102,0.0
2020-05-25,FRANCE,0,33414,3140,36123.0,130101.0,102,0.0
2020-05-26,FRANCE,0,32347,3033,36287.0,131457.0,102,0.0
2020-05-27,FRANCE,0,31186,2929,36416.0,132866.0,102,0.0
2020-05-28,FRANCE,0,30245,2785,36547.0,134075.0,102,0.0
2020-05-29,FRANCE,0,29223,2652,36668.0,135295.0,102,0.0
2020-05-30,FRANCE,0,28594,2581,36782.0,136223.0,102,0.0
2020-05-31,FRANCE,0,28477,2569,36844.0,136397.0,102,0.0
2020-06-01,FRANCE,0,28409,2535,36906.0,136567.0,102,0.0
2020-06-02,FRANCE,0,27890,2438,37074.0,137309.0,102,0.0
2020-06-03,FRANCE,0,26861,2354,37236.0,138595.0,102,0.0
2020-06-04,FRANCE,0,26039,2263,37324.0,139632.0,102,0.0
2020-06-05,FRANCE,0,25221,2125,37415.0,140686.0,102,0.0
2020-06-06,FRANCE,0,24788,2056,37477.0,141289.0,102,0.0
2020-06-07,FRANCE,0,24753,2044,37503.0,141361.0,102,0.0
2020-06-08,FRANCE,0,24461,1986,37611.0,141799.0,102,0.0
2020-06-09,FRANCE,0,23754,1848,37717.0,142683.0,102,0.0
2020-06-10,FRANCE,0,23188,1804,37763.0,143332.0,102,0.0
2020-06-11,FRANCE,0,22764,1746,37818.0,143963.0,102,0.0
2020-06-12,FRANCE,0,22083,1697,37874.0,144808.0,102,0.0
2020-06-13,FRANCE,0,21653,1681,37922.0,145279.0,102,0.0
2020-06-14,FRANCE,0,21596,1677,37940.0,145381.0,102,0.0
2020-06-15,FRANCE,0,21338,1631,37998.0,145751.0,102,0.0
2020-06-16,FRANCE,0,20903,1580,38073.0,146333.0,102,0.0
2020-06-17,FRANCE,0,20372,1484,38129.0,146991.0,102,0.0
2020-06-18,FRANCE,0,20089,1444,38185.0,147430.0,102,0.0
2020-06-19,FRANCE,0,19783,1394,38211.0,147886.0,102,0.0
2020-06-20,FRANCE,0,19519,1370,38243.0,148277.0,102,0.0
2020-06-21,FRANCE,0,19490,1371,38257.0,148397.0,102,0.0
2020-06-22,FRANCE,0,19228,1343,38303.0,148877.0,102,0.0
2020-06-23,FRANCE,0,18827,1305,38354.0,149392.0,102,0.0
2020-06-24,FRANCE,0,18445,1257,38378.0,149902.0,102,0.0
2020-06-25,FRANCE,0,18128,1243,38420.0,150347.0,102,0.0
2020-06-26,FRANCE,0,17617,1209,38472.0,150942.0,102,0.0
2020-06-27,FRANCE,0,17368,1185,38502.0,151268.0,102,0.0
2020-06-28,FRANCE,0,17392,1185,38506.0,151328.0,102,0.0
2020-06-29,FRANCE,0,17225,1178,38542.0,151638.0,102,0.0
2020-06-30,FRANCE,0,16918,1143,38584.0,152188.0,102,0.0
2020-07-01,FRANCE,0,16520,1104,38620.0,152736.0,102,0.0
2020-07-02,FRANCE,0,16146,1086,38648.0,153241.0,102,0.0
2020-07-03,FRANCE,0,15830,1061,38684.0,153756.0,102,0.0
2020-07-04,FRANCE,0,15666,1029,38708.0,153976.0,102,0.0
2020-07-05,FRANCE,0,15665,1036,38712.0,154014.0,102,0.0
2020-07-06,FRANCE,0,15552,1035,38738.0,154270.0,102,0.0
2020-07-07,FRANCE,0,15042,1014,38806.0,154939.0,102,0.0
2020-07-08,FRANCE,0,14452,999,38868.0,155620.0,102,0.0
2020-07-09,FRANCE,0,14215,966,38896.0,155967.0,102,0.0
2020-07-10,FRANCE,0,13987,936,38946.0,156402.0,102,0.0
2020-07-11,FRANCE,0,13937,933,38958.0,156555.0,102,0.0
2020-07-12,FRANCE,0,13929,939,38960.0,156619.0,102,0.0
2020-07-13,FRANCE,0,13830,927,38996.0,156818.0,102,0.0
2020-07-14,FRANCE,0,13765,923,39008.0,156982.0,102,0.0
2020-07-15,FRANCE,0,13694,907,39048.0,157260.0,102,0.0
2020-07-16,FRANCE,0,13458,905,39083.0,157688.0,102,0.0
2020-07-17,FRANCE,0,13241,898,39111.0,158103.0,102,0.0
2020-07-18,FRANCE,0,13179,894,39127.0,158280.0,102,0.0
2020-07-19,FRANCE,0,13118,890,39129.0,158403.0,102,0.0
2020-07-20,FRANCE,0,13049,878,39161.0,158692.0,102,0.0
2020-07-21,FRANCE,0,12836,855,39187.0,159077.0,102,0.0
2020-07-22,FRANCE,0,12605,836,39201.0,159522.0,102,0.0
2020-07-23,FRANCE,0,11789,818,39221.0,160547.0,102,0.0
2020-07-24,FRANCE,0,11317,765,39241.0,161231.0,102,0.0
2020-07-25,FRANCE,0,11229,731,39257.0,161453.0,102,0.0
2020-07-26,FRANCE,0,11241,729,39259.0,161517.0,102,0.0
2020-07-27,FRANCE,0,11190,744,39275.0,161764.0,102,0.0
2020-07-28,FRANCE,0,10984,718,39305.0,162220.0,102,0.0
2020-07-29,FRANCE,0,10784,708,39335.0,162598.0,102,0.0
2020-07-30,FRANCE,0,10636,710,39367.0,162930.0,102,0.0
2020-07-31,FRANCE,0,10480,690,39389.0,163358.0,102,0.0
2020-08-01,FRANCE,0,10320,684,39400.0,163650.0,102,0.0
2020-08-02,FRANCE,0,10342,686,39402.0,163676.0,102,0.0
2020-08-03,FRANCE,0,10276,716,39447.0,163928.0,102,0.0
2020-08-04,FRANCE,0,10201,724,39469.0,164231.0,102,0.0
2020-08-05,FRANCE,0,10173,716,39487.0,164515.0,102,0.0
2020-08-06,FRANCE,0,10002,727,39501.0,164932.0,102,0.0
2020-08-07,FRANCE,0,9906,713,39525.0,165263.0,102,0.0
2020-08-08,FRANCE,0,9927,727,39529.0,165374.0,102,0.0
2020-08-09,FRANCE,0,9948,731,39529.0,165384.0,102,0.0
2020-08-10,FRANCE,0,9970,738,39557.0,165683.0,102,0.0
2020-08-11,FRANCE,0,9907,729,39586.0,166061.0,102,0.0
2020-08-12,FRANCE,0,9665,705,39620.0,166531.0,102,0.0
2020-08-13,FRANCE,0,9610,698,39654.0,166908.0,102,0.0
2020-08-14,FRANCE,0,9540,685,39690.0,167279.0,102,0.0
2020-08-15,FRANCE,0,9598,702,39696.0,167367.0,102,0.0
2020-08-16,FRANCE,0,9604,702,39698.0,167425.0,102,0.0
2020-08-17,FRANCE,0,9729,718,39736.0,167713.0,102,0.0
2020-08-18,FRANCE,0,9524,708,39767.0,168200.0,102,0.0
2020-08-19,FRANCE,0,9522,718,39800.0,168483.0,102,0.0
2020-08-20,FRANCE,0,9406,730,39824.0,168831.0,102,0.0
2020-08-21,FRANCE,0,9399,728,39870.0,169203.0,102,0.0
2020-08-22,FRANCE,0,9325,730,39886.0,169446.0,102,0.0
2020-08-23,FRANCE,0,9321,736,39888.0,169492.0,102,0.0
2020-08-24,FRANCE,0,9286,770,39918.0,169944.0,102,0.0
2020-08-25,FRANCE,0,9114,797,39958.0,170584.0,102,0.0
2020-08-26,FRANCE,0,9026,744,39993.0,171055.0,102,0.0
2020-08-27,FRANCE,0,8994,748,40017.0,171497.0,102,0.0
2020-08-28,FRANCE,0,8992,760,40055.0,171884.0,102,0.0
2020-08-29,FRANCE,0,8984,786,40067.0,172125.0,102,0.0
2020-08-30,FRANCE,0,8994,790,40075.0,172149.0,102,0.0
2020-08-31,FRANCE,0,9089,803,40132.0,172465.0,102,0.0
2020-09-01,FRANCE,0,9133,833,40170.0,172947.0,102,0.0
2020-09-02,FRANCE,0,9186,876,40220.0,173446.0,102,0.0
2020-09-03,FRANCE,0,9213,914,40260.0,173931.0,102,0.0
2020-09-04,FRANCE,0,9272,931,40295.0,174410.0,102,0.0
2020-09-05,FRANCE,0,9298,949,40319.0,174673.0,102,0.0
2020-09-06,FRANCE,0,9356,957,40325.0,174730.0,102,0.0
2020-09-07,FRANCE,0,9739,1059,40375.0,175183.0,102,0.0
2020-09-08,FRANCE,0,9838,1133,40452.0,175961.0,102,0.0
2020-09-09,FRANCE,0,9926,1182,40512.0,176556.0,102,0.0
2020-09-10,FRANCE,0,10107,1211,40550.0,176992.0,102,0.0
2020-09-11,FRANCE,0,10223,1251,40630.0,177624.0,102,0.0
2020-09-12,FRANCE,0,10300,1304,40663.0,177968.0,102,0.0
2020-09-13,FRANCE,0,10402,1318,40675.0,178046.0,102,0.0
2020-09-14,FRANCE,0,10908,1404,40742.0,178514.0,102,0.0
2020-09-15,FRANCE,0,11265,1498,40813.0,179282.0,102,0.0
2020-09-16,FRANCE,0,11546,1586,40905.0,180167.0,102,0.0
2020-09-17,FRANCE,0,11596,1580,41005.0,181174.0,102,0.0
2020-09-18,FRANCE,0,11549,1636,41249.0,182631.0,102,0.0
2020-09-19,FRANCE,0,10936,1650,41299.0,184117.0,102,0.0
2020-09-20,FRANCE,0,10652,1663,41321.0,184642.0,102,0.0
