date,country,total_cases,total_hospitalizations,total_icu,total_deaths,total_recovered,active_cases,regions_count,avg_age,mortality_rate,recovery_rate,processed_at
2020-03-18,FRANCE,"",2972,771,218,816,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-19,FRANCE,"",4073,1002,327,1180,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-20,FRANCE,"",5226,1297,450,1587,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-21,FRANCE,"",5900,1453,525,1811,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-22,FRANCE,"",6954,1674,632,2117,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-23,FRANCE,"",8673,2080,860,2567,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-24,FRANCE,"",10163,2503,1100,3281,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-25,FRANCE,"",12072,2935,1388,4085,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-26,FRANCE,"",13879,3351,1696,4947,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-27,FRANCE,"",15701,3758,1995,5698,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-28,FRANCE,"",17580,4236,2314,6624,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-29,FRANCE,"",19311,4592,2606,7131,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-30,FRANCE,"",20946,5056,3024,7923,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-03-31,FRANCE,"",22672,5496,3523,9443,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-01,FRANCE,"",24543,5940,4032,10934,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-02,FRANCE,"",26131,6305,4503,12427,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-03,FRANCE,"",27302,6556,5091,14007,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-04,FRANCE,"",28003,6723,5532,15437,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-05,FRANCE,"",28747,6859,5889,16182,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-06,FRANCE,"",29569,6948,6494,17249,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-07,FRANCE,"",29871,7004,7091,19336,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-08,FRANCE,"",30217,7019,7632,21253,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-09,FRANCE,"",30608,6937,8044,23205,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-10,FRANCE,"",31108,6875,8598,24931,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-11,FRANCE,"",31159,6752,8943,26390,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-12,FRANCE,"",31665,6714,9253,27185,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-13,FRANCE,"",31952,6690,9588,27717,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-14,FRANCE,"",32131,6599,10129,28804,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-15,FRANCE,"",31623,6331,10643,30952,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-16,FRANCE,"",31172,6139,11053,32806,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-17,FRANCE,"",31061,5922,11470,34414,"",102,"","","",2026-02-25T07:01:18.070+01:00
2020-04-18,FRANCE,"",30515,5733,11834,35977,"",102,"","","",2026-02-25T07:01:18.070+01:00
